"Tabla 18. Estructura empresarial Medellín, según comunas y actividad económica (Total empresas)",,,,,,Volver al índice,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CIIU,Descripción,ALTAVISTA,ARANJUEZ,BELEN,BUENOS AIRES,CASTILLA,DOCE DE OCTUBRE,EL POBLADO,GUAYABAL,LA AMERICA,LA CANDELARIA,LAURELES,MANRIQUE,PALMITAS,POPULAR,ROBLEDO,SAN ANTONIO DE PRADO,SAN CRISTOBAL,SAN JAVIER,SANTA CRUZ,SANTA ELENA,VILLA HERMOSA,Sin georreferenciar,Total
1051,Elaboración de productos de molinería,3,9,12,4,4,8,2,4,2,10,3,4,,3,6,1,6,2,1,1,3,0,88
1052,Elaboración de almidones y productos derivados del almidón,,1,,,,,,,1,,,,,,,,,,,,,0,2
1061,Trilla de café,,,,1,,,2,2,,1,,,,,,,,,,,,1,7
1062,"Descafeinado, tostión y molienda del café",,1,2,1,1,,5,4,3,2,5,1,1,,1,2,,,,1,2,0,32
1063,Otros derivados del café,,,1,,,,7,2,1,2,3,,,,,,,,1,,,0,17
1071,Elaboración y refinación de azúcar,,,,,,,,,,,,,,,,,,1,,,,0,1
1072,Elaboración de panela,,,4,,,1,2,,,3,3,,,,,,,,,,,0,13
1081,Elaboración de productos de panadería,11,98,127,50,58,58,80,81,71,204,117,39,,36,56,32,24,42,38,20,54,7,1303
1082,"Elaboración de cacao, chocolate y productos de confitería",,1,9,7,,,8,4,1,4,6,3,,,5,,1,1,,2,1,2,55
1083,"Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares",,,,,,,,1,,1,2,,,,1,,,,,,,0,5
1084,Elaboración de comidas y platos preparados,9,13,53,15,16,15,76,33,37,61,51,11,,6,21,6,5,17,5,10,22,1,483
1089,Elaboración de otros productos alimenticios n.c.p.,9,19,51,15,16,12,54,49,23,42,36,17,1,6,17,8,10,13,8,5,17,1,429
1090,Elaboración de alimentos preparados para animales,,1,7,1,3,,7,11,3,2,3,,,,4,1,2,1,3,2,1,0,52
1101,"Destilación, rectificación y mezcla de bebidas alcohólicas",,2,3,,,,6,,,3,2,,,,,,,1,,,2,0,19
1102,Elaboración de bebidas fermentadas no destiladas,,,1,,,,,2,1,,2,,,,1,,,1,1,,,0,9
1103,"Producción de malta, elaboración de cervezas y otras bebidas malteadas",2,,,2,,1,6,5,3,4,6,2,,,3,2,,,,1,1,0,38
1104,"Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas",1,3,4,2,,2,12,8,2,6,5,,,,,,,2,2,4,2,0,55
1311,Preparación e hilatura de fibras textiles,,2,,1,1,,2,4,,5,,,,,2,1,,2,1,,,0,21
1312,Tejeduría de productos textiles,,,5,2,2,2,4,11,4,18,6,1,,,,1,,5,,1,2,0,64
1313,Acabado de productos textiles,3,14,42,18,16,12,15,50,14,114,20,5,,3,5,6,11,17,6,2,11,1,385
1391,Fabricación de tejidos de punto y ganchillo,1,,2,,2,,4,7,1,6,3,,,,2,,,,1,,,0,29
1392,"Confección de artículos con materiales textiles, excepto prendas de vestir",2,7,17,5,7,4,11,18,9,21,18,2,,1,7,5,4,3,5,1,5,1,153
1393,Fabricación de tapetes y alfombras para pisos,,,,,1,,,,,,1,,,,,,,1,,1,,0,4
1394,"Fabricación de cuerdas, cordeles, cables, bramantes y redes",,,2,1,2,,,2,1,3,1,,,,,,,,,,1,0,13
1399,Fabricación de otros artículos textiles n.c.p.,2,3,11,8,7,3,13,16,11,30,17,3,,2,1,4,1,4,2,1,2,0,141
1410,"Confección de prendas de vestir, excepto prendas de piel",23,115,327,96,103,73,253,327,144,1024,297,59,1,24,104,50,25,90,35,25,82,13,3290
1420,Fabricación de artículos de piel,,,,,1,1,3,1,,2,1,1,,,,1,,,,,1,0,12
1430,Fabricación de artículos de punto y ganchillo,,,2,,1,,1,2,,3,,,,,,,,,,1,,0,10
1511,"Curtido y recurtido de cueros, recurtido y teñido de pieles",,,,1,,,2,1,,1,,,,,,,,1,,,,0,6
1512,"Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados en cuero, y fabricación de artículos de talabartería y guarnicionería",,5,8,4,9,1,12,5,2,18,7,1,,2,3,1,3,4,,,,0,85
1513,"Fabricación de artículos de viaje, bolsos de mano y artículos similares, artículos de talabartería y guarnicionería elaborados en otros materiales",,4,6,5,3,,7,6,2,12,8,,,,1,2,3,3,1,2,4,0,69
1521,"Fabricación de calzado de cuero y piel, con cualquier tipo de suela",5,8,8,4,3,7,14,17,7,58,8,2,,3,7,1,2,6,5,1,7,0,173
1522,"Fabricación de otros tipos de calzado, excepto calzado de cuero y piel",,3,3,6,2,7,5,2,1,39,2,3,,,,1,1,1,2,,3,0,81
1523,Fabricación de partes del calzado,1,2,2,,2,2,1,7,,6,,,,,,,,,1,,,0,24
1610,"Aserrado, acepillado e impregnación de la madera",1,9,2,2,2,2,7,3,2,37,,1,1,,,3,2,1,3,4,3,1,86
1620,"Fabricación de hojas de madera para enchapado, fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles",,1,,,,,1,1,1,3,2,,,1,1,,,,,,1,0,12
1630,"Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción",3,20,27,14,7,10,13,22,7,48,11,8,,2,10,6,7,2,9,3,6,0,235
1640,Fabricación de recipientes de madera,,,1,,,,,5,1,,,,,,,,1,,,1,,0,9
1690,"Fabricación de otros productos de madera, fabricación de artículos de corcho, cestería y espartería",,6,2,1,2,2,7,7,3,11,7,2,,,3,2,4,,,1,3,0,63
1701,"Fabricación de pulpas (pastas) celulósicas, papel y cartón",,,,,,,,1,,1,,,,,,,,,,,1,0,3
