"Tabla 18. Estructura empresarial Medellín, según comunas y actividad económica (Total empresas)",,,,,,Volver al índice,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CIIU,Descripción,ALTAVISTA,ARANJUEZ,BELEN,BUENOS AIRES,CASTILLA,DOCE DE OCTUBRE,EL POBLADO,GUAYABAL,LA AMERICA,LA CANDELARIA,LAURELES,MANRIQUE,PALMITAS,POPULAR,ROBLEDO,SAN ANTONIO DE PRADO,SAN CRISTOBAL,SAN JAVIER,SANTA CRUZ,SANTA ELENA,VILLA HERMOSA,Sin georreferenciar,Total
3812,Recolección de desechos peligrosos,,1,,,,,,,,,1,,,,,,,,,,,0,2
3821,Tratamiento y disposición de desechos no peligrosos,1,1,1,,1,,5,,,,3,,,,,2,,,,,2,0,16
3822,Tratamiento y disposición de desechos peligrosos,,,1,,,,2,1,,1,1,,,,,,,,,,,0,6
3830,Recuperación de materiales,1,41,9,8,9,7,6,21,8,64,7,8,,8,9,3,6,6,16,2,3,1,243
3900,Actividades de saneamiento ambiental y otros servicios de gestión de desechos,1,1,3,1,2,1,4,1,1,2,4,,,1,2,,,,1,2,2,0,29
4111,Construcción de edificios residenciales,36,67,145,83,52,44,381,46,74,160,199,55,,31,73,35,47,65,42,31,81,12,1759
4112,Construcción de edificios no residenciales,4,4,25,5,6,7,72,7,5,28,21,9,,2,7,3,8,3,3,5,11,0,235
4210,Construcción de carreteras y vías de ferrocarril,,1,16,7,4,3,24,5,5,22,5,2,,3,5,3,,1,1,1,5,0,113
4220,Construcción de proyectos de servicio público,,2,9,5,3,2,12,4,12,8,11,,,,7,2,1,2,1,1,4,0,86
4290,Construcción de otras obras de ingeniería civil,21,33,160,59,39,34,269,71,74,126,163,30,1,21,59,31,23,46,28,20,58,9,1375
4311,Demolición,1,1,1,2,3,,4,,1,1,1,1,,,1,1,,1,,,1,1,21
4312,Preparación del terreno,1,4,18,9,1,2,29,3,5,17,10,1,,6,2,,,5,3,3,4,1,124
4321,Instalaciones eléctricas,7,26,57,35,31,33,51,33,28,45,66,24,,16,25,8,18,26,24,10,27,3,593
4322,"Instalaciones de fontanería, calefacción y aire acondicionado",3,11,38,25,22,20,18,24,12,35,11,14,,8,21,10,13,11,10,2,17,3,328
4329,Otras instalaciones especializadas,2,3,13,6,7,7,11,10,7,12,11,8,,2,11,2,4,3,5,2,6,0,132
4330,Terminación y acabado de edificios y obras de ingeniería civil,24,63,111,70,46,50,83,51,43,87,92,55,,46,67,27,31,58,35,14,61,10,1124
4390,Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil,14,22,68,23,12,18,92,30,31,40,59,13,,13,27,19,13,11,11,9,31,3,559
4511,Comercio de vehículos automotores nuevos,2,1,7,5,1,,45,5,1,19,5,1,,,2,1,1,,1,3,,1,101
4512,Comercio de vehículos automotores usados,2,6,31,17,5,5,169,17,11,47,78,6,,,7,2,3,3,3,3,6,4,425
4520,Mantenimiento y reparación de vehículos automotores,13,112,108,54,88,21,107,107,61,400,150,18,2,10,57,13,13,25,18,7,22,3,1409
4530,"Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",6,55,95,25,65,18,80,55,32,651,116,12,1,6,27,9,3,16,8,10,13,5,1308
4541,"Comercio de motocicletas y de sus partes, piezas y accesorios",,28,48,10,17,15,26,14,15,199,60,11,1,7,14,9,13,8,8,2,13,1,519
4542,Mantenimiento y reparación de motocicletas y de sus partes y piezas,3,27,47,20,20,15,6,14,23,81,31,24,,7,16,10,9,11,10,6,8,0,388
4610,Comercio al por mayor a cambio de una retribución o por contrata,10,,24,6,3,2,78,19,11,29,19,2,,1,4,2,3,2,,8,5,1,229
4620,"Comercio al por mayor de materias primas agropecuarias, animales vivos",3,6,28,8,11,4,63,14,12,31,39,3,2,3,6,5,4,3,2,7,7,3,264
4631,Comercio al por mayor de productos alimenticios,8,29,65,29,23,6,136,38,25,64,67,8,1,6,22,9,3,16,9,8,15,4,591
4632,Comercio al por mayor de bebidas y tabaco,3,7,17,4,2,4,48,3,4,17,10,1,,1,2,1,,4,1,3,2,0,134
4641,"Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico",1,1,26,5,3,2,44,24,11,116,25,2,,,6,,2,1,1,1,6,2,279
4642,Comercio al por mayor de prendas de vestir,9,10,23,13,10,6,52,21,10,128,34,5,,7,10,6,2,5,6,4,11,1,373
4643,Comercio al por mayor de calzado,1,3,3,2,,,7,3,,54,6,1,,,3,,,,,2,4,0,89
4644,Comercio al por mayor de aparatos y equipo de uso doméstico,,2,3,,1,1,9,3,7,38,23,1,,,2,,1,,2,2,,1,96
4645,"Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",7,16,61,17,13,4,124,49,36,166,107,6,,1,10,12,4,12,2,5,15,1,668
4649,Comercio al por mayor de otros utensilios domésticos n.c.p.,,4,23,5,2,5,16,10,6,114,20,1,,,4,,1,1,2,,4,0,218
4651,"Comercio al por mayor de computadores, equipo periférico y programas de informática",,5,7,2,,1,32,4,9,11,5,,,,4,2,,,1,1,4,0,88
4652,"Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones",3,3,25,6,2,4,37,16,11,67,31,2,,,3,2,2,4,1,1,4,1,225
4653,Comercio al por mayor de maquinaria y equipo agropecuarios,,1,8,1,,1,14,8,6,17,1,,,,2,,,1,,1,,0,61
4659,Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,4,10,68,10,9,6,79,56,23,89,63,4,,2,11,2,3,4,4,9,8,0,464
4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",,3,2,3,5,1,6,13,7,11,4,1,,2,2,1,,4,,,,0,65
4662,Comercio al por mayor de metales y productos metalíferos,1,3,20,6,3,2,92,33,6,27,16,2,,,1,,1,,3,5,5,0,226
4663,"Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",9,25,62,12,15,11,69,63,27,192,53,8,1,3,18,9,9,9,4,7,11,4,621
4664,"Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",,5,14,2,3,2,33,23,11,31,17,1,,,8,1,2,1,,1,1,0,156
4665,"Comercio al por mayor de desperdicios, desechos y chatarra",2,34,8,2,7,4,5,13,5,48,14,3,,2,8,2,3,1,11,,4,1,177
4669,Comercio al por mayor de otros productos n.c.p.,5,7,56,10,12,5,61,36,15,125,37,3,,2,10,6,2,8,1,2,11,3,417
4690,Comercio al por mayor no especializado,12,19,86,17,13,10,147,74,33,296,78,6,,1,15,12,2,8,2,6,12,3,852
4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",58,338,404,296,275,332,134,252,215,454,266,310,11,198,288,185,114,243,195,50,231,13,4862
4719,"Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas (alcohólicas y no alcohólicas) y tabaco",10,124,157,91,90,93,83,71,90,845,105,74,2,71,79,49,46,77,69,21,99,3,2349
4721,Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados,4,34,46,25,24,18,27,14,32,132,30,18,2,21,33,20,13,20,16,4,26,0,559
4722,"Comercio al por menor de leche, productos lácteos y huevos, en establecimientos especializados",2,24,20,9,23,11,7,11,16,24,30,9,1,4,14,7,4,7,2,2,7,3,237
4723,"Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados",6,68,64,36,47,57,19,35,28,116,23,40,1,39,39,27,16,43,32,10,43,1,790
4724,"Comercio al por menor de bebidas y productos del tabaco, en establecimientos especializados",8,67,60,46,58,42,21,40,22,103,45,57,,37,29,35,15,46,41,8,38,3,821
4729,"Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados",7,34,83,23,28,18,67,23,30,117,48,23,,12,33,11,9,5,16,8,19,4,618
4731,Comercio al por menor de combustible para automotores,1,8,12,9,8,2,24,8,4,22,19,2,,,2,,2,,,3,2,0,128
4732,"Comercio al por menor de lubricantes (aceites, grasas), aditivos y productos de limpieza para vehículos automotores",,13,15,5,12,6,15,19,11,33,15,7,,1,8,1,5,4,3,,7,0,180
4741,"Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados",7,50,94,35,29,23,214,26,46,435,124,23,,19,38,14,22,18,20,13,23,1,1274
4742,"Comercio al por menor de equipos y aparatos de sonido y de video, en establecimientos especializados",1,3,2,1,1,1,15,1,2,56,15,1,,,3,,,,,,1,0,103
4751,Comercio al por menor de productos textiles en establecimientos especializados,1,16,28,12,8,9,14,18,11,241,27,5,,3,12,5,2,7,5,2,8,2,436
4752,"Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados",15,83,147,49,60,70,34,83,54,498,76,49,3,43,56,35,30,51,32,15,62,4,1549
4753,"Comercio al por menor de tapices, alfombras y recubrimientos para paredes y pisos en establecimientos especializados",1,1,6,,,2,10,1,,6,9,,,,,,,1,,,1,0,38
4754,"Comercio al por menor de electrodomésticos y gasodomésticos, muebles y equipos de iluminación en establecimientos especializados",3,13,29,6,7,6,19,7,10,153,48,3,,2,6,3,3,6,1,2,7,1,335
4755,Comercio al por menor de artículos y utensilios de uso doméstico en establecimientos especializados,2,14,26,11,9,4,42,19,24,122,75,10,,7,7,9,2,7,,4,5,2,401
4759,Comercio al por menor de otros artículos domésticos en establecimientos especializados,11,56,121,52,39,43,68,47,54,271,114,29,3,12,41,27,20,46,20,11,24,1,1110
4761,"Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados",5,46,84,48,40,51,38,40,53,219,76,36,,18,50,21,17,26,25,6,45,2,946
4762,"Comercio al por menor de artículos deportivos, en establecimientos especializados",,10,29,8,4,4,26,7,6,60,25,1,,,2,2,3,2,1,1,1,0,192
4769,Comercio al por menor de otros artículos culturales y de entretenimiento n.c.p. en establecimientos especializados,,5,14,8,3,,9,1,3,46,18,1,,1,2,3,2,4,,,2,0,122
4771,Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,22,113,210,94,85,58,261,90,88,1397,224,71,1,32,56,64,42,64,45,23,71,6,3117
4772,Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados,4,18,33,11,12,7,35,14,11,391,44,8,,7,10,11,8,10,7,2,10,3,656
4773,"Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",18,151,255,129,101,113,160,93,119,496,188,79,,49,102,66,37,74,77,19,93,7,2426
4774,Comercio al por menor de otros productos nuevos en establecimientos especializados,2,38,68,25,23,18,106,43,26,704,86,12,,5,26,15,13,19,9,2,20,2,1262
4775,Comercio al por menor de artículos de segunda mano,,12,20,8,6,7,18,4,7,92,10,2,,2,3,6,8,5,6,2,3,0,221
4781,"Comercio al por menor de alimentos, bebidas y tabaco, en puestos de venta móviles",2,2,8,1,5,1,3,7,3,5,3,2,,2,5,1,,1,2,,3,0,56
4782,"Comercio al por menor de productos textiles, prendas de vestir y calzado, en puestos de venta móviles",6,7,5,3,4,4,13,2,2,54,12,5,1,1,2,3,3,,4,1,6,0,138
4789,Comercio al por menor de otros productos en puestos de venta móviles,1,1,8,,,,2,3,,5,3,1,,,1,,,1,1,2,,0,29
4791,Comercio al por menor realizado a través de internet,19,56,161,59,41,34,158,44,64,144,110,17,,7,73,14,14,24,28,13,44,9,1133
4792,Comercio al por menor realizado a través de casas de venta o por correo,,1,5,2,1,2,1,2,,6,3,,,1,2,,1,2,,,,0,29
4799,"Otros tipos de comercio al por menor no realizado en establecimientos, puestos de venta o mercados",16,45,98,37,27,25,90,40,89,130,91,18,,13,37,18,13,25,23,14,37,10,896
4911,Transporte férreo de pasajeros,,,,1,,,,1,,,,,,,,,,,,,,0,2
4912,Transporte férreo de carga,,,,,,,1,1,,1,1,,,,,,,,,,,0,4
4921,Transporte de pasajeros,5,13,40,23,24,10,34,56,27,57,51,10,,1,9,8,9,8,3,4,5,1,398
4922,Transporte mixto,1,3,6,6,6,3,8,5,4,12,10,1,,,3,,,3,3,1,3,1,79
4923,Transporte de carga por carretera,9,47,90,31,66,15,122,85,44,127,96,20,,12,50,18,22,14,22,11,29,6,936
4930,Transporte por tuberías,,,3,1,,,3,1,,,1,,,,,1,,,,,,0,10
5011,Transporte de pasajeros marítimo y de cabotaje,,,,,,,3,,1,1,1,,,,,,,,,,,0,6
5012,Transporte de carga marítimo y de cabotaje,,,,,,,2,,,1,,,,1,,,,,,,,0,4
5021,Transporte fluvial de pasajeros,,1,,,,,,,,,,,,,,,,,,,,0,1
5022,Transporte fluvial de carga,,,,,,,2,,,,,,,,,,,,,,,0,2
5111,Transporte aéreo nacional de pasajeros,,,,,2,,6,3,,,,,,,,2,,,,2,1,0,16
5121,Transporte aéreo nacional de carga,1,,1,,1,,1,6,,,2,,,,,2,,,,4,,0,18
5122,Transporte aéreo internacional de carga,,,,,1,,,,,,,,,,1,,,,,,,0,2
5210,Almacenamiento y depósito,1,2,3,,2,,2,1,2,24,,,,,,2,,1,,,,0,40
5221,"Actividades de estaciones, vías y servicios complementarios para el transporte terrestre",2,22,29,18,12,4,32,9,8,191,26,5,,2,11,10,7,7,4,1,8,0,408
5222,Actividades de puertos y servicios complementarios para el transporte acuático,,1,,,1,,1,,,1,,,,,,1,,,,,,0,5
5223,"Actividades de aeropuertos, servicios de navegación aérea y demás actividades conexas al transporte aéreo",,,,,,,1,2,,,2,,,,,,,,,,,0,5
5224,Manipulación de carga,,1,4,1,4,1,6,5,1,5,1,1,,,2,1,1,4,3,,2,0,43
5229,Otras actividades complementarias al transporte,5,10,26,5,18,2,74,19,11,42,33,1,,2,5,9,5,3,,3,7,0,280
5310,Actividades postales nacionales,1,2,3,4,7,5,2,7,1,4,4,6,,5,2,,4,2,2,,2,0,63
5320,Actividades de mensajería,2,9,38,18,18,11,20,19,15,48,22,11,2,6,19,3,1,11,7,3,10,1,294
5511,Alojamiento en hoteles,3,12,33,9,20,,197,12,10,168,161,1,,2,1,5,1,2,1,17,7,4,666
5512,Alojamiento en apartahoteles,1,1,13,1,1,1,50,3,3,16,20,,,,4,,,2,1,4,2,2,125
5513,Alojamiento en centros vacacionales,,1,1,1,,,8,1,,4,5,,,,1,1,1,,,1,,0,25
5514,Alojamiento rural,1,1,15,4,,,30,1,2,9,10,,2,,1,1,5,2,,13,2,1,100
5519,Otros tipos de alojamiento para visitantes,7,11,46,16,7,4,169,19,28,69,80,5,1,1,8,4,1,3,,20,16,5,520
5520,Actividades de zonas de camping y parques para vehículos recreacionales,,,3,,,,,,,1,,,,,,,1,1,1,,,0,7
5530,Servicio de estancia por horas,2,10,4,,9,,6,1,2,108,20,1,,,1,1,,1,,,1,0,167
5590,Otros tipos de alojamiento n.c.p.,,1,3,2,1,1,7,1,1,32,7,2,,,,1,,,,1,2,0,62
5611,Expendio a la mesa de comidas preparadas,19,178,285,144,119,60,583,147,138,543,445,62,5,26,115,80,40,79,37,52,57,8,3222
5612,Expendio por autoservicio de comidas preparadas,2,15,29,13,11,5,56,19,14,69,49,5,1,1,10,5,1,7,6,1,8,1,328
5613,Expendio de comidas preparadas en cafeterías,4,48,74,26,48,20,97,58,43,325,132,20,3,18,32,12,17,26,14,7,24,0,1048
5619,Otros tipos de expendio de comidas preparadas n.c.p.,17,114,134,75,65,38,98,72,63,150,110,55,3,29,67,34,20,47,42,18,43,6,1300
5621,Catering para eventos,3,13,33,15,8,4,25,8,11,29,28,6,,2,17,6,4,10,4,2,6,2,236
5629,Actividades de otros servicios de comidas,2,4,11,3,1,3,12,4,7,7,10,4,,1,5,2,5,1,,3,6,1,92
5630,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,29,205,160,140,102,93,199,63,50,376,194,147,5,116,87,67,78,106,83,45,111,8,2464
5811,Edición de libros,,2,6,1,2,,11,,2,8,9,1,,,2,1,1,,,1,1,0,48
5813,"Edición de periódicos, revistas y otras publicaciones periódicas",,,6,,,,12,,1,3,6,1,,,2,,,1,,,1,0,33
5819,Otros trabajos de edición,,,1,2,,2,4,2,1,15,1,1,,1,1,,1,1,,,1,1,35
5820,Edición de programas de informática (software),2,,11,2,4,1,54,6,2,4,20,1,,,5,1,3,1,1,,4,1,123
5911,"Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión",3,2,21,11,1,2,49,6,13,16,27,2,,,2,5,1,3,4,4,5,1,178
5912,"Actividades de postproducción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión",,,5,1,1,,6,1,1,1,1,,,,,,,1,1,,1,0,20
5913,"Actividades de distribución de películas cinematográficas, videos, programas, anuncios y comerciales de televisión",,,1,,,,1,,,3,,,,,,,,,,,,0,5
5914,Actividades de exhibición de películas cinematográficas y videos,,,1,,,,1,,,2,,,,,,,,,,,,0,4
5920,Actividades de grabación de sonido y edición de música,5,5,18,4,2,2,53,4,9,12,22,2,,,5,1,1,3,1,1,2,1,153
6010,Actividades de programación y transmisión en el servicio de radiodifusión sonora,,,,2,,,7,,1,2,11,2,,,1,5,,1,1,,,0,33
6020,Actividades de programación y transmisión de televisión,,,3,1,1,1,4,1,,1,,,,,,1,,,,,1,0,14
6110,Actividades de telecomunicaciones alámbricas,1,2,5,5,2,4,11,3,4,9,6,3,,,5,1,1,2,1,1,2,1,69
6120,Actividades de telecomunicaciones inalámbricas,1,1,4,2,1,2,5,4,2,18,9,4,1,1,1,1,,2,1,1,,0,61
6130,Actividades de telecomunicación satelital,,1,,,,,4,,,1,1,,,,1,,,,,,,0,8
6190,Otras actividades de telecomunicaciones,4,12,28,6,7,9,20,7,13,69,27,7,,6,18,8,4,6,5,5,16,0,277
6201,"Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",24,50,154,61,25,12,548,55,74,77,187,24,,6,48,30,20,25,13,24,55,10,1522
6202,Actividades de consultoría informática y actividades de administración de instalaciones informáticas,12,14,70,24,11,1,209,25,25,45,91,7,,2,20,11,6,9,4,8,18,6,618
6209,Otras actividades de tecnologías de información y actividades de servicios informáticos,6,11,37,15,3,3,85,11,16,22,33,9,,,7,4,5,5,4,3,9,3,291
6311,"Procesamiento de datos, alojamiento (hosting) y actividades relacionadas",2,6,35,6,2,2,66,17,20,24,45,5,,,9,5,2,2,2,2,5,0,257
6312,Portales web,1,5,11,3,3,,32,3,8,10,18,2,,2,4,,2,2,,2,1,2,111
6391,Actividades de agencias de noticias,1,,1,,,,1,,,,2,,,,1,1,,1,,,1,0,9
6399,Otras actividades de servicios de información n.c.p.,,,7,,1,1,24,3,4,7,6,,,1,2,1,,2,,1,2,0,62
6412,Bancos comerciales,,,,,,,2,,,,,,,,,,,,,,,0,2
6421,Actividades de las corporaciones financieras,,,,,,,1,1,,1,,,,,,,,,,,,0,3
6422,Actividades de las compañías de financiamiento,,,3,,,,4,,,,1,,,,,,,,,,,0,8
6431,"Fideicomisos, fondos y entidades financieras similares",,,,,,,4,,,1,2,,,,,,,,,,,0,7
6493,Actividades de compra de cartera o factoring,,,1,1,,,17,2,,6,1,1,,,,,,,,2,2,0,33
6494,Otras actividades de distribución de fondos,3,,1,6,,,127,10,1,20,7,,,,,1,,,,7,4,0,187
6496,Capitalización,,,,,,,1,,,,,,,,,,,,,,,0,1
6499,"Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",3,3,13,6,2,,120,7,4,55,20,,,,1,4,1,1,,3,9,2,254
6511,Seguros generales,1,,10,2,1,,7,2,1,6,4,,,,,,,,,,1,0,35
6512,Seguros de vida,,,1,,,,4,,,1,1,,,,,,,,,,,1,8
6515,Seguros de salud,,,,,,,,,,1,,,,,,,,,,,,0,1
6521,Servicios de seguros sociales de salud,,1,,,,,,,,2,1,,,,,,,,,,,0,4
6522,Servicios de seguros sociales en riesgos laborales,,,,2,2,,1,,,,,,,,,,,,1,,1,0,7
6532,Régimen de ahorro individual con solidaridad (RAIS),,,,,,,1,,,,,,,,,,,,,,,0,1
6611,Administración de mercados financieros,,,1,,,,,,,1,1,,,,,,,,,,,0,3
6612,Corretaje de valores y de contratos de productos básicos,1,,1,,,,7,1,1,3,1,,,,1,,,,,,,0,16
6613,Otras actividades relacionadas con el mercado de valores,2,1,4,2,,,66,3,1,19,20,2,,,1,1,,,1,3,7,1,134
6614,Actividades de las sociedades de intermediación cambiaria y de servicios financieros especiales,,,,,,,1,,,3,,,,,,,,,,,,0,4
6615,Actividades de los profesionales de compra y venta de divisas,1,,,,,,28,1,,19,17,,,,,,,1,,,1,0,68
6619,Otras actividades auxiliares de las actividades de servicios financieros n.c.p.,1,,6,3,,,63,7,,20,13,1,,,,,1,,,5,1,0,121
6621,Actividades de agentes y corredores de seguros,26,11,158,42,19,11,342,27,55,100,158,8,2,2,17,13,9,16,3,19,21,16,1075
6629,"Evaluación de riesgos y daños, y otras actividades de servicios auxiliares",2,,6,,,,6,2,1,3,2,,,,1,1,,1,,1,,1,27
6630,Actividades de administración de fondos,,,,,,,7,,,,1,,,,,,,,,,,0,8
6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,102,61,461,155,75,12,3528,306,148,916,676,66,2,5,57,54,24,22,11,208,181,38,7108
6820,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,12,9,111,44,11,9,450,28,38,139,153,6,1,1,14,16,7,8,2,30,42,9,1140
6910,Actividades jurídicas,14,16,97,32,11,10,473,32,35,254,170,10,,2,21,16,7,11,6,20,31,4,1272
6920,"Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria",7,12,66,21,10,7,143,14,31,71,73,3,,1,9,3,4,4,1,5,10,4,499
7010,Actividades de administración empresarial,40,8,103,50,19,9,1023,95,31,185,132,6,,2,22,15,10,12,3,62,49,10,1886
7020,Actividades de consultoría de gestión,35,27,228,68,27,16,854,96,81,226,211,29,3,5,52,36,11,28,6,43,60,11,2153
7111,Actividades de arquitectura,4,9,63,17,2,,191,19,17,29,66,3,,2,13,6,3,11,2,13,18,4,492
7112,Actividades de ingeniería y otras actividades conexas de consultoría técnica,15,22,156,40,20,10,282,60,89,125,148,22,,6,50,14,16,21,5,13,30,10,1154
7120,Ensayos y análisis técnicos,2,6,17,8,6,,17,14,4,23,17,2,,,7,,,1,,,1,1,126
7210,Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería,1,4,8,3,4,,22,4,6,7,9,2,,1,3,1,,2,1,,1,0,79
7220,Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades,1,,4,2,1,2,21,1,3,5,7,,,,1,,,,,,1,1,50
7310,Publicidad,26,28,161,45,25,21,297,70,78,237,160,14,,8,47,18,22,28,6,23,40,12,1366
7320,Estudios de mercado y realización de encuestas de opinión pública,,,4,2,1,1,15,2,3,,5,1,,1,1,,,,,,,0,36
7410,Actividades especializadas de diseño,9,11,50,11,6,9,160,27,33,39,54,4,,2,12,9,3,3,5,13,11,2,473
7420,Actividades de fotografía,3,9,22,6,2,2,40,7,7,19,18,4,,2,8,1,2,5,3,1,6,2,169
7490,"Otras actividades profesionales, científicas y técnicas n.c.p.",14,15,104,43,20,7,545,69,40,94,99,14,,,28,16,6,14,6,29,25,6,1194
7500,Actividades veterinarias,1,18,31,14,12,5,26,16,26,22,37,1,,5,14,6,3,4,3,5,7,2,258
7710,Alquiler y arrendamiento de vehículos automotores,5,2,21,5,2,1,63,8,7,11,13,4,,,2,4,2,,1,,4,2,157
7721,Alquiler y arrendamiento de equipo recreativo y deportivo,,,2,1,1,,7,,2,4,3,1,,,,,,,,1,,0,22
7722,Alquiler de videos y discos,,1,1,,,,,,,,,,,,,,,,,,,0,2
7729,Alquiler y arrendamiento de otros efectos personales y enseres domésticos n.c.p.,,5,14,5,4,4,16,3,11,42,17,3,,1,4,,1,,3,2,6,0,141
7730,"Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.",3,13,40,10,12,3,63,48,20,35,26,4,,,9,4,7,5,2,3,12,1,320
7740,"Arrendamiento de propiedad intelectual y productos similares, excepto obras protegidas por derechos de autor",,,3,1,,,16,5,,2,3,,,,,,,,,,,0,30
7810,Actividades de agencias de gestión y colocación de empleo,,,3,1,1,,13,1,2,5,5,,,,1,2,,,,,1,1,36
7820,Actividades de empresas de servicios temporales,,2,2,,,,11,7,1,17,10,1,,,,,1,3,,,,0,55
7830,Otras actividades de provisión de talento humano,,,5,1,,2,16,1,8,14,13,,,,2,1,,1,,3,2,0,69
7911,Actividades de las agencias de viaje,8,18,75,31,15,11,105,32,28,103,75,9,,8,28,16,9,22,6,6,12,3,620
7912,Actividades de operadores turísticos,6,15,43,20,13,11,93,16,16,49,40,10,2,5,17,6,6,25,6,15,17,2,433
7990,Otros servicios de reserva y actividades relacionadas,1,,22,2,4,3,43,3,6,16,8,1,,1,2,,,11,,,3,2,128
8010,Actividades de seguridad privada,,,6,3,1,,13,6,5,3,17,,,,1,1,,,,,,0,56
8020,Actividades de servicios de sistemas de seguridad,1,4,18,8,5,7,14,9,12,20,27,4,,1,9,5,2,5,1,1,5,2,160
8030,Actividades de detectives e investigadores privados,,,2,3,1,,2,2,1,6,3,,,,,,1,1,,,,0,22
8110,Actividades combinadas de apoyo a instalaciones,,2,4,1,1,3,6,5,3,7,7,,,1,2,1,,2,2,,5,0,52
8121,Limpieza general interior de edificios,2,3,14,3,3,2,8,4,9,16,16,3,,1,5,1,6,3,1,1,3,0,104
8129,Otras actividades de limpieza de edificios e instalaciones industriales,1,12,16,10,4,2,18,6,11,21,25,7,,4,15,10,5,5,7,3,9,0,191
8130,Actividades de paisajismo y servicios de mantenimiento conexos,5,6,8,8,4,4,13,2,6,10,15,2,,,5,5,6,6,3,8,2,0,118
8211,Actividades combinadas de servicios administrativos de oficina,2,8,22,9,4,,72,11,13,45,22,1,,1,7,3,,4,,4,5,0,233
8219,"Fotocopiado, preparación de documentos y otras actividades especializadas de apoyo a oficina",1,2,4,1,2,4,8,3,4,20,7,3,,1,5,2,1,2,3,1,3,0,77
8220,Actividades de centros de llamadas (call center),4,5,18,8,3,1,82,18,6,43,19,3,,,5,4,3,4,,3,6,0,235
8230,Organización de convenciones y eventos comerciales,5,15,63,21,7,5,89,24,20,45,50,6,,1,8,12,1,6,3,6,11,3,401
8291,Actividades de agencias de cobranza y oficinas de calificación crediticia,,1,2,2,2,,11,2,1,16,2,1,,1,,,,,1,,2,0,44
8292,Actividades de envase y empaque,,,3,1,1,,5,5,1,3,1,2,,,,2,1,2,,1,,0,28
8299,Otras actividades de servicio de apoyo a las empresas n.c.p.,27,45,121,77,50,33,483,43,60,188,129,36,1,14,36,29,21,35,12,35,47,8,1530
8412,Actividades ejecutivas de la administración pública,,,2,,,,2,,,1,1,,,,,,,,,,1,0,7
8413,"Regulación de las actividades de organismos que prestan servicios de salud, educativos, culturales y otros servicios sociales, excepto servicios de seguridad social",,,,,1,,1,1,,3,2,,,,1,,,1,,,,0,10
8414,Actividades reguladoras y facilitadoras de la actividad económica,,1,,,,,,,,1,,,,,,,,1,,,,0,3
8421,Relaciones exteriores,,,,,,,,,,,,,,,,,,,,,,1,1
8423,Orden público y actividades de seguridad,,,,,,,1,,,1,,,,,,,,,,,,0,2
8430,Actividades de planes de seguridad social de afiliación obligatoria,,,,,,,3,1,,5,1,,,,,,,,,,,0,10
8511,Educación de la primera infancia,,2,3,2,2,,2,1,3,2,4,,,,1,1,,2,,,1,0,26
8512,Educación preescolar,3,6,21,7,2,1,8,4,8,3,11,1,,1,5,1,1,2,1,,1,0,87
