"Tabla 18. Estructura empresarial Medellín, según comunas y actividad económica (Total empresas)",,,,,,Volver al índice,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CIIU,Descripción,ALTAVISTA,ARANJUEZ,BELEN,BUENOS AIRES,CASTILLA,DOCE DE OCTUBRE,EL POBLADO,GUAYABAL,LA AMERICA,LA CANDELARIA,LAURELES,MANRIQUE,PALMITAS,POPULAR,ROBLEDO,SAN ANTONIO DE PRADO,SAN CRISTOBAL,SAN JAVIER,SANTA CRUZ,SANTA ELENA,VILLA HERMOSA,Sin Georreferenciar,Total
1051,Elaboración de productos de molinería,3,9,9,4,7,11,5,3,2,6,3,8,3,3,5,5,5,1,3,,3,,98
1052,Elaboración de almidones y productos derivados del almidón,,1,,,,,,,,,,,,,,,,,,,,,1
1061,Trilla de café,,,,1,,,1,2,,2,,,,,,,,,,,,,6
1062,"Descafeinado, tostión y molienda del café",,1,2,3,4,,5,4,3,2,8,,,,3,,1,,,1,1,,38
1063,Otros derivados del café,,2,3,1,2,,8,2,1,5,2,,,,1,1,,,,1,,,29
1071,Elaboración y refinación de azúcar,,,,,,,1,,,,,,,,,,,,,,,,1
1072,Elaboración de panela,,,1,,,,2,,1,4,6,,,,,,,,,,,,14
1081,Elaboración de productos de panadería,16,95,141,74,71,64,101,72,72,207,134,46,,37,65,23,23,53,44,13,46,5,1402
1082,"Elaboración de cacao, chocolate y productos de confitería",,3,11,9,,1,8,6,1,2,5,,,,6,,2,2,1,1,1,,59
1083,"Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares",,,,,,,,1,,1,2,,,,,,,,,,,,4
1084,Elaboración de comidas y platos preparados,5,24,57,16,16,13,92,29,33,81,47,9,,7,27,7,9,13,13,4,18,3,523
1089,Elaboración de otros productos alimenticios n.c.p.,8,27,55,25,19,18,66,49,24,45,40,10,,8,20,9,10,17,7,4,21,,482
1090,Elaboración de alimentos preparados para animales,,1,6,,3,,15,11,3,4,5,,,1,3,1,1,2,2,,1,,59
1101,"Destilación, rectificación y mezcla de bebidas alcohólicas",,2,4,1,,,5,3,,2,3,,,,,,,,,,1,,21
1102,Elaboración de bebidas fermentadas no destiladas,,1,4,,,,4,1,,,2,,,,1,,,1,,1,,,15
1103,"Producción de malta, elaboración de cervezas y otras bebidas malteadas",1,,,2,,1,12,5,3,4,5,2,1,,4,1,1,,,1,,,43
