"Tabla 18. Estructura empresarial Medellín, según comunas y actividad económica (Total empresas)",,,,,,Volver al índice,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CIIU,Descripción CIIU,EL POBLADO,LA CANDELARIA,LAURELES,BELEN,GUAYABAL,LA AMERICA,BUENOS AIRES,ARANJUEZ,ROBLEDO,CASTILLA,SAN JAVIER,DOCE DE OCTUBRE,SAN ANTONIO DE PRADO,VILLA HERMOSA,MANRIQUE,SAN CRISTOBAL,SANTA CRUZ,POPULAR,ALTAVISTA,SANTA ELENA,PALMITAS,Sin Georreferenciar,Total
4290,Construcción de otras obras de ingeniería civil,293,144,164,148,65,75,57,28,75,40,49,35,44,47,30,32,31,22,31,14,,13,1437
4311,Demolición,2,3,1,1,,1,1,1,1,2,1,,2,1,,,1,1,1,,,,20
4312,Preparación del terreno,32,10,10,18,2,4,4,2,5,4,3,3,3,4,2,2,3,5,1,2,,1,120
4321,Instalaciones eléctricas,65,52,63,64,40,37,46,30,31,30,31,44,20,29,25,26,24,23,8,6,,1,695
4322,"Instalaciones de fontanería, calefacción y aire acondicionado",16,41,17,33,25,12,26,16,30,24,15,13,10,14,18,9,10,12,5,7,,4,357
4329,Otras instalaciones especializadas,16,15,8,16,10,5,6,8,7,5,4,10,4,7,8,7,6,2,2,1,1,1,149
4330,Terminación y acabado de edificios y obras de ingeniería civil,104,110,72,133,51,56,82,57,86,39,60,50,37,64,51,44,36,38,27,14,1,11,1223
4390,Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil,111,52,54,63,24,30,31,18,39,16,19,18,15,20,18,8,15,10,15,4,,9,589
4511,Comercio de vehículos automotores nuevos,44,19,4,8,4,8,3,2,2,2,,,2,2,1,1,,,1,1,,1,105
4512,Comercio de vehículos automotores usados,180,57,91,44,15,12,21,8,5,4,2,7,8,10,7,5,6,2,6,3,,4,497
4520,Mantenimiento y reparación de vehículos automotores,121,421,160,127,113,56,51,122,64,97,31,25,31,25,28,19,16,16,9,8,1,5,1546
4530,"Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",82,662,112,103,70,41,29,67,31,62,21,23,29,6,14,19,10,7,6,8,,5,1407
4541,"Comercio de motocicletas y de sus partes, piezas y accesorios",38,217,41,59,12,20,20,30,9,14,6,22,13,19,18,16,11,10,3,5,,,583
4542,Mantenimiento y reparación de motocicletas y de sus partes y piezas,6,94,25,57,20,24,26,28,26,25,12,27,16,11,20,9,11,8,5,2,,,452
4610,Comercio al por mayor a cambio de una retribución o por contrata,98,33,24,26,16,12,7,6,4,2,4,,6,6,5,3,1,5,5,2,,2,267
4620,Comercio al por mayor de materias primas agropecuarias; animales vivos,81,38,38,27,12,11,7,4,8,12,2,3,3,1,5,7,2,3,8,4,,,276
4631,Comercio al por mayor de productos alimenticios,159,69,74,65,47,31,40,37,25,28,20,8,16,11,12,11,9,5,13,10,1,4,695
4632,Comercio al por mayor de bebidas y tabaco,48,14,13,14,4,6,1,5,5,4,6,4,2,3,3,1,2,,4,6,,,145
4641,"Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico",43,129,22,17,23,12,9,4,6,5,3,5,1,5,1,5,3,1,,1,,3,298
4642,Comercio al por mayor de prendas de vestir,61,147,31,30,27,10,13,11,15,7,10,10,4,7,8,3,6,3,6,2,,5,416
4643,Comercio al por mayor de calzado,7,53,6,3,3,1,4,1,2,,,1,1,2,,2,1,,,1,,1,89
4644,Comercio al por mayor de aparatos y equipo de uso doméstico,11,30,10,5,5,3,2,7,3,2,,,1,,,1,1,1,2,,1,3,88
4645,"Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",129,190,86,64,58,44,20,12,13,14,17,4,8,12,9,6,4,4,8,7,,7,716
4649,Comercio al por mayor de otros utensilios domésticos n.c.p.,18,131,22,25,9,7,4,7,4,5,3,4,2,3,3,,2,2,,1,,,252
4651,"Comercio al por mayor de computadores, equipo periférico y programas de informática",47,16,10,10,5,9,4,1,6,,1,1,4,2,1,1,,1,1,1,,,121
4652,"Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones",49,74,42,22,18,7,5,5,7,4,3,7,3,5,4,1,2,2,3,1,,4,268
4653,Comercio al por mayor de maquinaria y equipo agropecuarios,12,15,4,10,9,6,,,3,,,1,,,,,,,1,,,,61
4659,Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,99,99,58,62,62,28,12,10,16,10,6,5,3,7,3,3,4,1,3,2,,3,496
4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",10,9,3,3,7,4,5,3,1,4,4,1,,1,1,1,,2,,,,,59
4662,Comercio al por mayor de metales y productos metalíferos,83,32,17,12,29,8,2,4,3,1,,1,,1,1,,,1,,,,,195
4663,"Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",80,201,57,60,69,35,14,28,17,16,11,12,12,9,7,9,5,7,9,8,,3,669
4664,"Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",34,30,15,23,25,9,2,6,3,3,3,1,3,1,1,,1,2,1,,,,163
4665,"Comercio al por mayor de desperdicios, desechos y chatarra",2,49,10,5,9,4,5,30,8,7,,4,3,2,2,1,6,1,1,3,,,152
4669,Comercio al por mayor de otros productos n.c.p.,67,126,42,41,35,16,10,13,10,8,7,6,3,3,7,3,3,1,2,1,,6,410
4690,Comercio al por mayor no especializado,178,338,84,85,75,33,14,9,19,24,8,9,8,11,8,7,5,4,12,6,,11,948
4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",179,427,232,396,221,215,323,372,301,258,273,327,234,223,285,147,217,216,94,55,10,10,5015
4719,"Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas (alcohólicas y no alcohólicas) y tabaco",100,806,100,136,61,88,89,128,82,90,78,101,58,90,69,60,75,72,17,16,,15,2331
4721,Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados,33,111,31,52,16,25,26,31,29,24,25,21,28,22,23,17,17,17,6,3,2,4,563
4722,"Comercio al por menor de leche, productos lácteos y huevos, en establecimientos especializados",8,24,20,18,14,15,9,27,8,29,10,9,8,9,4,7,7,3,,1,1,6,237
4723,"Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados",18,102,20,57,35,32,37,58,35,50,36,59,42,33,53,24,42,41,17,5,1,3,800
4724,"Comercio al por menor de bebidas y productos del tabaco, en establecimientos especializados",26,111,42,51,32,22,47,75,35,56,52,39,34,35,42,21,35,32,9,7,,9,812
4729,"Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados",70,113,52,83,26,35,32,34,35,27,12,21,10,15,30,20,12,18,14,7,,3,669
4731,Comercio al por menor de combustible para automotores,37,20,15,8,7,1,12,7,3,8,4,3,3,3,,2,,1,2,4,,1,141
4732,"Comercio al por menor de lubricantes (aceites, grasas), aditivos y productos de limpieza para vehículos automotores",17,33,15,23,16,9,7,17,6,12,4,4,2,5,3,7,8,3,,,,,191
4741,"Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados",232,500,126,88,32,49,54,50,46,40,27,30,14,25,13,34,23,21,9,1,,9,1423
4742,"Comercio al por menor de equipos y aparatos de sonido y de video, en establecimientos especializados",12,60,18,3,2,1,1,4,4,2,1,2,,2,,1,3,,2,,,5,123
4751,Comercio al por menor de productos textiles en establecimientos especializados,22,241,23,24,13,8,10,12,4,7,8,6,6,9,5,3,6,5,3,1,,4,420
4752,"Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados",47,490,76,125,82,68,56,78,57,68,49,63,43,54,55,38,36,45,18,11,3,9,1571
4753,"Comercio al por menor de tapices, alfombras y recubrimientos para paredes y pisos en establecimientos especializados",12,2,7,6,2,,1,1,,1,1,2,,,2,2,,,,,,,39
4754,"Comercio al por menor de electrodomésticos y gasodomésticos, muebles y equipos de iluminación en establecimientos especializados",26,150,38,29,9,14,8,19,4,5,6,4,6,2,,7,2,3,1,,,,333
4755,Comercio al por menor de artículos y utensilios de uso doméstico en establecimientos especializados,46,116,83,23,16,37,11,17,10,9,7,5,6,4,13,4,4,4,4,2,,,421
4759,Comercio al por menor de otros artículos domésticos en establecimientos especializados,76,256,97,116,47,63,55,57,40,44,50,40,34,36,23,23,17,18,12,2,1,6,1113
4761,"Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados",44,215,72,78,38,53,42,45,63,34,29,55,25,41,38,41,27,24,13,6,,4,987
4762,"Comercio al por menor de artículos deportivos, en establecimientos especializados",29,54,29,28,7,7,1,9,5,3,3,5,7,1,1,3,1,2,1,1,,3,200
4769,Comercio al por menor de otros artículos culturales y de entretenimiento n.c.p. en establecimientos especializados,8,45,15,9,3,2,6,7,2,3,3,1,5,1,2,2,1,1,1,1,,,118
4771,Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,299,1488,233,188,100,99,102,142,87,82,82,65,64,79,74,77,63,46,40,21,,47,3478
4772,Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados,38,364,33,19,15,12,21,21,15,13,14,12,9,5,8,10,10,10,3,2,,14,648
4773,"Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",226,505,187,250,93,114,144,155,114,111,94,122,65,91,99,53,70,50,31,17,3,11,2605
4774,Comercio al por menor de otros productos nuevos en establecimientos especializados,97,644,67,59,33,33,30,41,23,25,17,11,21,13,12,18,12,6,9,4,1,6,1182
4775,Comercio al por menor de artículos de segunda mano,16,94,9,18,5,7,7,11,5,7,6,5,11,3,2,3,7,1,2,2,,3,224
4781,"Comercio al por menor de alimentos, bebidas y tabaco, en puestos de venta móviles",3,4,4,9,6,2,1,2,2,3,2,2,2,2,2,5,3,2,3,1,,,60
4782,"Comercio al por menor de productos textiles, prendas de vestir y calzado, en puestos de venta móviles",19,52,14,18,2,5,6,5,5,3,2,6,3,2,4,6,3,,2,1,,1,159
4789,Comercio al por menor de otros productos en puestos de venta móviles,3,5,1,8,3,3,1,1,2,1,2,,1,3,1,,2,,1,2,,,40
4791,Comercio al por menor realizado a través de internet,208,178,137,173,42,86,89,57,80,41,30,34,25,41,40,35,20,20,19,13,,14,1382
4792,Comercio al por menor realizado a través de casas de venta o por correo,1,5,3,4,2,,3,1,2,1,2,2,,,,1,,1,2,,,,30
4799,"Otros tipos de comercio al por menor no realizado en establecimientos, puestos de venta o mercados",118,118,81,96,29,70,35,45,43,19,21,20,20,31,19,21,17,9,11,11,,8,842
4912,Transporte férreo de carga,1,1,,,,,,,,,,1,,,,,,,,,,,3
4921,Transporte de pasajeros,52,62,53,48,62,30,22,18,22,32,9,8,11,6,9,12,3,,2,4,,5,470
4922,Transporte mixto,9,8,5,3,5,5,3,2,3,3,2,4,1,4,1,1,4,1,1,3,,,68
4923,Transporte de carga por carretera,134,144,92,98,87,30,37,52,70,57,26,16,28,22,17,33,21,19,15,9,,10,1017
4930,Transporte por tuberías,3,,1,3,,,,,1,,1,1,,,,,,,,,,,10
5011,Transporte de pasajeros marítimo y de cabotaje,4,2,,,,,,,,,,,1,,,,,,,,,,7
5012,Transporte de carga marítimo y de cabotaje,2,,,,,,,,,,,,,,,,1,,,,,1,4
5021,Transporte fluvial de pasajeros,,,,,1,,,,1,,,,,,,,,,,,,,2
5111,Transporte aéreo nacional de pasajeros,5,,,1,4,,,,,,,,4,,,,,,,5,,,19
5121,Transporte aéreo nacional de carga,4,,1,1,5,,,,2,,,,3,,,,,,,2,,,18
5122,Transporte aéreo internacional de carga,,,,,,,,,,1,,,,,,,,,,,,,1
5210,Almacenamiento y depósito,1,18,2,5,3,1,,1,2,2,1,,1,,1,2,,,1,,,,41
5221,"Actividades de estaciones, vías y servicios complementarios para el transporte terrestre",28,206,23,31,4,16,19,20,16,14,5,6,11,7,6,8,5,4,,2,,,431
5222,Actividades de puertos y servicios complementarios para el transporte acuático,2,,,,,,,,,,,,2,,,,,,,,,,4
5223,"Actividades de aeropuertos, servicios de navegación aérea y demás actividades conexas al transporte aéreo",2,,,,2,,,,,,,,,,,,,,,,,,4
5224,Manipulación de carga,8,5,3,5,5,3,2,2,1,3,3,1,1,,,,2,1,,1,,,46
5229,Otras actividades complementarias al transporte,89,33,41,20,23,10,9,9,6,14,5,4,7,2,3,7,,1,5,2,,2,292
5310,Actividades postales nacionales,2,1,2,1,2,1,5,1,4,4,1,5,1,1,5,2,2,2,,,,3,45
5320,Actividades de mensajería,18,51,24,48,17,16,15,13,17,16,13,10,7,13,12,4,6,8,8,2,1,1,320
5511,Alojamiento en hoteles,241,173,160,34,19,12,9,10,,19,2,1,7,1,,3,1,1,2,10,,6,711
5512,Alojamiento en apartahoteles,64,12,32,19,1,6,2,1,4,1,2,2,1,2,,,2,1,2,4,,1,159
5513,Alojamiento en centros vacacionales,4,4,2,,1,,1,2,,,,,3,,,1,,,,,,1,19
5514,Alojamiento rural,33,11,12,16,2,3,5,2,2,,3,,5,2,1,6,,,2,13,1,1,120
5519,Otros tipos de alojamiento para visitantes,185,81,130,56,21,22,18,15,4,6,10,1,8,9,4,2,,2,10,10,,4,598
5520,Actividades de zonas de camping y parques para vehículos recreacionales,,2,,1,,,,,,,,,,,,,,,,,,,3
5530,Servicio de estancia por horas,6,105,18,1,3,2,1,12,3,9,,,,2,,1,1,,,,,,164
5590,Otros tipos de alojamiento n.c.p.,8,30,8,3,1,1,2,1,1,,,1,,1,2,1,,,,,,,60
5611,Expendio a la mesa de comidas preparadas,685,600,417,313,160,187,161,211,117,136,113,75,107,60,68,54,43,54,41,52,5,13,3672
5612,Expendio por autoservicio de comidas preparadas,51,66,36,34,21,19,23,20,12,15,10,7,10,10,6,8,11,3,5,3,,,370
5613,Expendio de comidas preparadas en cafeterías,106,298,122,89,50,51,37,57,34,50,26,19,24,20,20,21,16,13,10,13,4,6,1086
5619,Otros tipos de expendio de comidas preparadas n.c.p.,102,144,96,133,68,64,85,123,73,67,58,62,46,38,48,37,44,36,15,14,2,10,1365
5621,Catering para eventos,38,27,26,29,11,16,14,8,15,9,8,6,13,4,7,6,4,2,4,6,,3,256
5629,Actividades de otros servicios de comidas,12,9,14,13,4,4,3,1,5,2,1,4,3,4,1,3,,1,,1,,2,87
5630,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,221,432,164,176,86,74,170,248,106,136,163,126,107,128,131,92,102,134,48,17,5,11,2877
5811,Edición de libros,12,9,10,5,,1,,2,3,2,1,1,1,,,,,,,1,,,48
5813,"Edición de periódicos, revistas y otras publicaciones periódicas",13,4,2,3,,2,1,1,1,,,,,,,,,,,,,1,28
5819,Otros trabajos de edición,4,11,,1,,,,,2,,,2,,1,1,,,1,,,,,23
5820,Edición de programas de informática (software),49,6,15,15,7,5,1,1,6,1,1,1,1,1,,,1,,1,1,,1,114
5911,"Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión",65,17,27,30,3,15,11,1,4,4,4,1,2,2,4,1,3,2,3,8,,2,209
5912,"Actividades de postproducción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión",9,1,1,3,,,1,,,,,,,,,,,,,,,,15
5913,"Actividades de distribución de películas cinematográficas, videos, programas, anuncios y comerciales de televisión",3,1,,1,,,,,,,,,,,,,,,1,,,,6
5914,Actividades de exhibición de películas cinematográficas y videos,,3,,,,,,,,,,,,,,1,,,,,,,4
5920,Actividades de grabación de sonido y edición de música,51,10,23,21,7,8,3,5,7,2,4,4,3,2,2,2,3,3,2,3,,1,166
6010,Actividades de programación y transmisión en el servicio de radiodifusión sonora,5,3,12,,,2,2,,2,1,,,1,,1,,,,,,,,29
6020,Actividades de programación y transmisión de televisión,4,,,,,,3,1,1,,,1,1,,,,,,,,,,11
6110,Actividades de telecomunicaciones alámbricas,14,9,5,4,3,4,4,4,4,1,5,5,1,4,4,5,1,2,2,1,,2,84
6120,Actividades de telecomunicaciones inalámbricas,9,24,8,3,3,1,4,2,2,1,2,3,,,5,1,,,1,,1,,70
6130,Actividades de telecomunicación satelital,2,1,,,,1,,,1,,,,,,,,,,,,,,5
6190,Otras actividades de telecomunicaciones,22,61,24,20,15,10,9,9,18,7,6,9,9,13,10,3,6,4,3,2,,1,261
6201,"Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",643,116,186,182,72,88,76,32,72,33,35,19,31,25,18,32,12,21,26,24,2,23,1768
6202,Actividades de consultoría informática y actividades de administración de instalaciones informáticas,251,50,68,69,33,32,26,14,15,11,22,4,12,5,7,8,4,4,8,1,,5,649
6209,Otras actividades de tecnologías de información y actividades de servicios informáticos,105,30,41,39,17,16,9,9,13,3,7,4,6,6,4,5,3,2,3,2,,1,325
6311,"Procesamiento de datos, alojamiento (hosting) y actividades relacionadas",82,22,43,32,11,19,8,5,9,1,4,3,5,7,4,6,1,2,5,2,,2,273
6312,Portales web,31,8,16,8,5,8,2,4,4,4,4,2,1,1,3,3,2,4,1,1,,1,113
6391,Actividades de agencias de noticias,2,1,2,,,,,,,1,,,1,,,,1,,1,1,,,10
6399,Otras actividades de servicios de información n.c.p.,25,6,7,7,3,2,,,1,2,1,,,,,1,,,,1,,,56
6412,Bancos comerciales,2,,,,,,,,,,,,1,,,,,,,,,,3
6421,Actividades de las corporaciones financieras,1,,,,1,,1,,,,,,,,,,,,,,,,3
6422,Actividades de las compañías de financiamiento,4,,2,2,1,,,,,,,,,,,,,,,,,,9
6431,"Fideicomisos, fondos y entidades financieras similares",7,1,2,,,,,,,,,,,,,,,,,,,,10
6491,Leasing financiero (arrendamiento financiero),2,,,,,,,,,,,,,,,,,,,,,,2
6493,Actividades de compra de cartera o factoring,20,7,1,3,1,1,1,,1,1,1,1,,,,,,,1,,,2,41
6494,Otras actividades de distribución de fondos,137,13,7,2,9,2,3,1,,,3,,,,,,,1,2,5,,2,187
6499,"Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",179,55,20,17,14,6,3,4,4,3,3,3,1,1,2,2,1,1,1,2,,4,326
6511,Seguros generales,6,2,2,4,2,,,,1,1,1,,,,1,,1,,,,,,21
6512,Seguros de vida,3,,1,1,,,1,,,,,,,,,,,,,,,1,7
6515,Seguros de salud,,1,,,,,,,,,,,,,,,,,,,,,1
6521,Servicios de seguros sociales de salud,,2,1,2,,,,,,,,,,,,,1,,,,,,6
6522,Servicios de seguros sociales en riesgos laborales,,,,,,,2,,,1,1,,,1,,,,,,1,,,6
6532,Régimen de ahorro individual con solidaridad (RAIS),1,,,,,,,,,,,,,,,,,,,,,,1
6611,Administración de mercados financieros,1,1,,1,,,,,,,,,,,,,,,,,,,3
6612,Corretaje de valores y de contratos de productos básicos,8,3,,,,2,1,,,,,,,,,,,,,,,,14
6613,Otras actividades relacionadas con el mercado de valores,66,18,14,3,4,,1,1,2,,,,2,1,,,,,4,1,,2,119
6614,Actividades de las sociedades de intermediación cambiaria y de servicios financieros especiales,1,2,,,,,,,,,,,,,,,,,,,,,3
6615,Actividades de los profesionales de compra y venta de divisas,39,22,26,2,,,1,1,,1,2,,1,,,,1,1,1,,,1,99
6619,Otras actividades auxiliares de las actividades de servicios financieros n.c.p.,73,21,8,7,5,,4,,1,,2,,1,,,,,1,,4,,2,129
6621,Actividades de agentes y corredores de seguros,396,101,146,135,36,64,35,13,24,20,18,8,27,9,10,10,3,5,27,8,,13,1108
6629,"Evaluación de riesgos y daños, y otras actividades de servicios auxiliares",7,3,3,7,3,,1,,1,,2,,,1,,,,,1,,,,29
6630,Actividades de administración de fondos,7,,1,,1,,,,,,,,,,,,,,,,,,9
6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,4581,1047,806,547,403,204,189,58,83,87,40,19,75,40,39,40,14,39,91,159,1,73,8635
6820,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,584,150,172,114,31,63,38,11,25,13,13,3,18,13,10,14,5,9,20,25,,12,1343
6910,Actividades jurídicas,615,303,176,108,29,44,35,15,31,15,14,13,14,8,8,12,8,8,16,8,,4,1484
6920,"Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria",161,76,68,69,18,38,17,11,16,9,6,5,13,9,5,9,6,1,10,7,,4,558
7010,Actividades de administración empresarial,1486,207,158,114,135,34,41,13,29,24,17,7,24,9,13,10,3,9,29,57,,14,2433
7020,Actividades de consultoría de gestión,1183,271,230,272,112,120,90,25,61,32,39,21,50,38,26,24,10,16,44,41,2,29,2736
7111,Actividades de arquitectura,217,39,70,51,20,24,14,10,21,7,10,1,7,10,6,9,1,4,9,8,1,8,547
7112,Actividades de ingeniería y otras actividades conexas de consultoría técnica,331,126,158,184,65,98,38,21,70,26,22,12,14,14,22,27,9,8,18,9,,18,1290
7120,Ensayos y análisis técnicos,20,30,18,17,16,6,6,5,7,6,3,1,,,2,,1,,1,,,1,140
7210,Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería,19,8,8,12,4,10,4,2,3,3,2,2,2,1,1,,,1,1,,,1,84
7220,Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades,20,8,6,6,1,1,1,1,2,2,,1,2,,1,,,1,1,,,1,55
7310,Publicidad,392,252,178,185,65,108,72,27,51,31,27,17,31,22,18,25,15,13,13,21,1,19,1583
7320,Estudios de mercado y realización de encuestas de opinión pública,13,8,7,6,4,4,1,1,3,,1,1,,,,,1,,,,,,50
7410,Actividades especializadas de diseño,181,53,63,61,31,31,17,6,18,10,6,7,13,3,7,7,5,2,9,12,,7,549
7420,Actividades de fotografía,49,19,15,17,9,9,7,12,7,3,8,4,2,5,5,2,3,2,3,,,4,185
7490,"Otras actividades profesionales, científicas y técnicas n.c.p.",625,114,105,115,70,47,48,14,27,18,11,8,19,14,11,9,4,9,21,26,,8,1323
7500,Actividades veterinarias,28,22,51,40,17,24,17,17,11,12,8,9,3,5,5,8,2,2,5,5,1,1,293
7710,Alquiler y arrendamiento de vehículos automotores,68,8,14,29,7,2,5,3,6,3,3,2,5,2,1,7,2,2,3,3,,5,180
7721,Alquiler y arrendamiento de equipo recreativo y deportivo,7,2,4,6,,3,1,,,2,,,,1,,,,,,,,,26
7722,Alquiler de videos y discos,,,,,,,,1,,,,,,,,,,,,,,,1
7729,Alquiler y arrendamiento de otros efectos personales y enseres domésticos n.c.p.,19,41,10,15,4,8,6,8,3,4,2,7,1,4,3,1,2,2,1,,,1,142
7730,"Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.",77,41,39,42,45,20,9,9,18,16,11,4,12,8,4,6,5,,3,2,,2,373
7740,"Arrendamiento de propiedad intelectual y productos similares, excepto obras protegidas por derechos de autor",11,5,1,,3,,,,,,,,1,,,,,,1,,,,22
7810,Actividades de agencias de gestión y colocación de empleo,15,3,5,4,,1,3,,,1,,,2,2,2,,2,1,1,,,,42
7820,Actividades de empresas de servicios temporales,14,16,12,6,7,1,,,2,1,3,,,,,3,,,,,,,65
7830,Otras actividades de provisión de talento humano,24,10,14,8,2,8,3,,1,,1,2,2,4,,1,1,1,,1,,1,84
7911,Actividades de las agencias de viaje,133,100,88,94,33,34,43,20,50,20,37,17,18,15,18,21,5,7,14,9,1,6,783
7912,Actividades de operadores turísticos,121,48,53,54,21,21,37,19,26,19,37,18,12,18,13,13,7,5,8,15,3,4,572
7990,Otros servicios de reserva y actividades relacionadas,62,20,7,23,6,14,5,6,7,5,10,5,2,7,1,4,1,2,4,1,,1,193
8010,Actividades de seguridad privada,9,2,16,8,4,9,3,1,3,,1,1,1,1,,,,1,,,,1,61
8020,Actividades de servicios de sistemas de seguridad,8,19,20,22,7,13,15,4,13,5,6,10,5,5,2,5,3,4,3,,,3,172
8030,Actividades de detectives e investigadores privados,2,5,2,1,3,1,1,1,1,1,,,,,1,,,,,,,,19
8110,Actividades combinadas de apoyo a instalaciones,9,5,5,8,4,3,3,2,2,3,,2,,2,,4,,2,,1,,,55
8121,Limpieza general interior de edificios,15,16,24,14,3,10,5,4,7,4,5,4,2,3,4,4,1,3,1,1,,2,132
8129,Otras actividades de limpieza de edificios e instalaciones industriales,13,34,15,18,5,14,13,11,14,6,11,4,11,10,9,6,5,3,3,3,,2,210
8130,Actividades de paisajismo y servicios de mantenimiento conexos,14,12,12,10,2,5,9,8,8,1,6,3,7,4,3,7,3,3,4,6,2,,129
8211,Actividades combinadas de servicios administrativos de oficina,100,46,24,16,12,14,8,11,10,6,9,2,5,,4,5,2,4,3,3,1,1,286
8219,"Fotocopiado, preparación de documentos y otras actividades especializadas de apoyo a oficina",6,23,6,5,2,5,2,2,8,4,3,3,2,4,4,4,3,1,,1,,,88
8220,Actividades de centros de llamadas (call center),93,46,30,15,30,1,7,2,9,4,3,1,5,2,1,,,1,2,2,,3,257
8230,Organización de convenciones y eventos comerciales,102,51,56,61,34,24,21,18,14,9,12,8,12,9,12,7,5,3,8,4,,6,476
8291,Actividades de agencias de cobranza y oficinas de calificación crediticia,16,15,1,6,2,1,5,1,2,1,,,,,,,,1,,,,,51
8292,Actividades de envase y empaque,5,5,1,3,5,1,1,,1,2,2,,,,4,,,,,,,,30
8299,Otras actividades de servicio de apoyo a las empresas n.c.p.,534,228,121,113,58,62,63,54,45,55,47,38,29,27,33,30,18,25,27,22,1,17,1647
8412,Actividades ejecutivas de la administración pública,2,1,,,,,,,1,,,,,,,,,,,,,,4
8413,"Regulación de las actividades de organismos que prestan servicios de salud, educativos, culturales y otros servicios sociales, excepto servicios de seguridad social",4,3,1,,,,1,,1,,,,,,1,,,,,,,1,12
8414,Actividades reguladoras y facilitadoras de la actividad económica,,1,,,,1,1,,1,,,,,,,,,,,,,,4
8421,Relaciones exteriores,,,,1,,,,,,,,,,,,,,,,,,,1
8430,Actividades de planes de seguridad social de afiliación obligatoria,1,5,,,1,,,,,,,,,,,,,,,,,1,8
8511,Educación de la primera infancia,1,2,4,3,1,4,3,3,,1,2,,1,1,,,,1,,,,,27
8512,Educación preescolar,6,2,15,17,4,8,6,5,5,3,3,2,1,1,1,1,1,1,3,1,,,86
8513,Educación básica primaria,1,,,1,,,,,1,1,,,1,,,1,,,,1,,,7
8521,Educación básica secundaria,,,,,,,,1,,,,,,,1,,,,,,,,2
8522,Educación media académica,,1,,,,,,1,,,2,,,,,,,,,,,,4
8523,Educación media técnica,,4,5,,2,,,1,,2,2,1,,,1,,,,,,,,18
8530,Establecimientos que combinan diferentes niveles de educación,5,11,7,1,,,2,3,5,1,,,,,,1,,,1,2,,,39
8541,Educación técnica profesional,,8,2,1,,,,,,,,,,,,,,,,,,,11
8542,Educación tecnológica,,1,,1,,,,,,,,,,,,,,,,,,,2
8543,Educación de instituciones universitarias o de escuelas tecnológicas,,,1,1,,,,,,,,,,,,,,,,,,,2
8544,Educación de universidades,1,,1,,,,,,1,,1,,,,,,,,,,,,4
8551,Formación para el trabajo,45,39,33,19,4,13,9,1,9,4,2,,5,2,2,2,3,,1,2,,2,197
8552,Enseñanza deportiva y recreativa,34,9,24,14,4,12,6,5,6,9,2,1,5,3,1,1,3,3,2,1,1,2,148
8553,Enseñanza cultural,16,9,24,11,1,11,1,2,2,1,,3,,1,2,2,1,,2,,,,89
8559,Otros tipos de educación n.c.p.,81,53,55,47,12,20,17,8,10,15,6,2,7,2,10,4,2,1,6,4,1,3,366
8560,Actividades de apoyo a la educación,24,8,15,21,4,7,11,3,6,1,3,1,2,,,1,,1,5,1,,,114
