"Tabla 18. Estructura empresarial Medellín, según comunas y actividad económica (Total empresas)",,,,,,Volver al índice,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CIIU,Descripción CIIU,EL POBLADO,LA CANDELARIA,LAURELES,BELEN,GUAYABAL,LA AMERICA,BUENOS AIRES,ARANJUEZ,ROBLEDO,CASTILLA,SAN JAVIER,DOCE DE OCTUBRE,SAN ANTONIO DE PRADO,VILLA HERMOSA,MANRIQUE,SAN CRISTOBAL,SANTA CRUZ,POPULAR,ALTAVISTA,SANTA ELENA,PALMITAS,Sin Georreferenciar,Total
1031,Extracción de aceites de origen vegetal crudos,1,,1,1,1,,,,,,,,,,1,,,,,1,,,6
1032,Elaboración de aceites y grasas de origen vegetal refinados,2,,,,2,,1,,,,,,,,,,,,,,,,5
1033,Elaboración de aceites y grasas de origen animal,,1,,,1,,,,,,,,,1,,,,,,,,,3
1040,Elaboración de productos lácteos,17,4,10,9,7,4,4,4,7,5,2,,3,1,2,3,2,,,5,,,89
1051,Elaboración de productos de molinería,5,8,2,12,3,1,4,9,4,5,4,8,5,3,6,5,4,2,5,1,3,1,100
1052,Elaboración de almidones y productos derivados del almidón,,,,,1,,,1,,,,,,,,,,,,,,,2
1061,Trilla de café,1,2,,,2,,,,,,,,,,,,,,,,,,5
1062,"Descafeinado, tostión y molienda del café",9,4,10,2,5,4,3,1,3,4,1,,2,1,,1,,,,,,1,51
1063,Otros derivados del café,4,4,4,3,3,1,,1,2,1,,,,,,,,,,1,,1,25
1071,Elaboración y refinación de azúcar,1,,,,,,,,1,,,,,,,,,,,,,,2
1072,Elaboración de panela,1,3,4,3,,,,1,,,,,1,,,,,,,,,,13
1081,Elaboración de productos de panadería,97,202,132,148,85,74,71,88,59,73,66,62,37,47,51,39,42,43,15,10,,5,1446
1082,"Elaboración de cacao, chocolate y productos de confitería",8,7,5,11,4,1,6,2,9,,2,1,1,2,1,2,,,,1,,1,64
1083,"Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares",,1,2,,1,,,,,,,,,,,,,,,,,,4
1084,Elaboración de comidas y platos preparados,81,68,46,61,29,28,24,24,35,20,19,14,16,22,9,12,14,6,10,4,,4,546
1089,Elaboración de otros productos alimenticios n.c.p.,60,41,38,52,45,28,28,31,24,20,14,19,13,16,14,16,8,7,14,6,1,4,499
1090,Elaboración de alimentos preparados para animales,22,4,4,9,11,2,2,2,7,4,1,3,1,1,,1,1,,1,,,,76
1101,"Destilación, rectificación y mezcla de bebidas alcohólicas",6,1,3,3,2,,3,1,,1,,,1,1,,,,,,,,,22
1102,Elaboración de bebidas fermentadas no destiladas,2,1,,3,2,,,1,1,,3,,,,1,,1,,1,2,,,18
1103,"Producción de malta, elaboración de cervezas y otras bebidas malteadas",7,6,2,2,3,3,1,2,3,,1,1,1,,2,,,,1,1,1,,37
1104,"Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas",19,8,9,8,6,7,1,2,,2,4,2,1,2,,,2,1,,1,1,,76
1200,Elaboración de productos de tabaco,,,1,1,,,,,,,,,,,,,,,,,,,2
1311,Preparación e hilatura de fibras textiles,3,3,,,5,,,1,2,1,1,,1,,,,,,,,,,17
1312,Tejeduría de productos textiles,5,22,4,6,15,4,4,1,,4,2,2,1,2,1,4,,,,1,,,78
1313,Acabado de productos textiles,17,126,22,31,49,12,18,10,15,18,18,11,10,12,5,9,4,2,2,4,,2,397
1391,Fabricación de tejidos de punto y ganchillo,2,4,3,2,8,2,3,,2,2,,,1,,,,2,,,,,1,32
1392,"Confección de artículos con materiales textiles, excepto prendas de vestir",11,22,17,15,15,12,5,6,3,7,9,5,5,9,5,4,2,4,1,,,2,159
1393,Fabricación de tapetes y alfombras para pisos,,,1,,,,,,,1,,,,,,,,,,,,,2
1394,"Fabricación de cuerdas, cordeles, cables, bramantes y redes",,3,2,2,2,1,2,,1,2,,,,,,,,,1,,,,16
1399,Fabricación de otros artículos textiles n.c.p.,7,29,16,9,19,9,7,6,2,8,4,3,3,3,1,1,3,1,,,,3,134
1410,"Confección de prendas de vestir, excepto prendas de piel",285,1041,253,299,302,142,102,109,121,94,102,63,62,63,58,33,41,32,32,13,,20,3267
1420,Fabricación de artículos de piel,2,,1,,,,3,,,2,,,1,1,1,,,,1,1,,,13
1430,Fabricación de artículos de punto y ganchillo,1,3,,2,2,,,,,2,,,,,,,,,,,,,10
1511,Curtido y recurtido de cueros; recurtido y teñido de pieles,1,,,,1,,1,,,1,,,,,,,,,,,,,4
1512,"Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados en cuero, y fabricación de artículos de talabartería y guarnicionería",9,17,6,8,11,1,3,7,2,8,6,2,1,2,1,2,1,2,1,,,,90
1513,"Fabricación de artículos de viaje, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería elaborados en otros materiales",8,13,10,8,5,2,4,2,3,4,2,,2,4,,1,,1,,2,1,,72
1521,"Fabricación de calzado de cuero y piel, con cualquier tipo de suela",13,39,10,10,13,5,9,8,5,5,7,6,,6,4,1,4,3,3,2,,1,154
1522,"Fabricación de otros tipos de calzado, excepto calzado de cuero y piel",3,33,1,5,2,1,4,2,2,2,,8,,1,1,,2,1,,,,1,69
1523,Fabricación de partes del calzado,2,11,,,2,,,3,1,2,,,,,,,,,1,,,,22
1610,"Aserrado, acepillado e impregnación de la madera",9,43,2,4,3,2,1,5,1,3,,3,,1,2,2,1,1,2,3,1,1,90
1620,"Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles",1,3,2,,2,,,,,,,,,1,,,,1,,,,,10
1630,"Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción",13,47,7,21,19,9,15,22,12,4,8,12,4,6,9,8,6,4,6,1,,2,235
1640,Fabricación de recipientes de madera,,1,,1,5,2,,,1,,,1,,,,1,,,,,,,12
1690,"Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería",3,10,2,2,4,4,3,3,3,2,,1,1,2,1,4,,1,,2,,,48
1701,Fabricación de pulpas (pastas) celulósicas; papel y cartón,,1,,1,,,,,,,,,,1,,,,,,,,,3
1702,"Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón",2,7,5,2,3,1,,1,2,,,,,,,2,,,,1,,,26
1709,Fabricación de otros artículos de papel y cartón,8,17,5,4,4,5,2,5,1,,2,,1,,1,3,1,,,,,,59
1811,Actividades de impresión,33,283,53,52,50,30,9,19,14,17,7,10,3,4,10,7,2,1,2,6,,4,616
1812,Actividades de servicios relacionados con la impresión,21,72,15,4,26,3,2,6,2,4,2,4,1,2,5,1,1,1,1,1,,,174
1820,Producción de copias a partir de grabaciones originales,3,,1,1,,1,2,,,,,,,,,,,,1,,,,9
1910,Fabricación de productos de hornos de coque,1,,,,,,,,,,,,,,,,,,,,,,1
1921,Fabricación de productos de la refinación del petróleo,2,2,1,4,2,1,,,,2,2,,1,,,,,,,,,,17
2011,Fabricación de sustancias y productos químicos básicos,13,7,2,4,10,2,,1,1,1,,,1,,1,,,1,,,,,44
2012,Fabricación de abonos y compuestos inorgánicos nitrogenados,5,,2,1,1,,,,1,,,,2,,,1,1,,,,,,14
2013,Fabricación de plásticos en formas primarias,7,6,1,1,8,2,1,3,1,2,,,2,,1,1,2,1,,1,,,40
2014,Fabricación de caucho sintético en formas primarias,,1,1,,3,,,,,,,,,,,,,,,,,,5
2021,Fabricación de plaguicidas y otros productos químicos de uso agropecuario,2,1,2,,,1,,1,,,1,,,,,1,,2,,1,,,12
2022,"Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas",7,13,11,3,5,1,3,3,4,1,1,1,1,1,1,1,1,,,1,,,59
2023,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",36,27,22,33,32,16,12,12,6,4,10,6,4,8,5,5,2,1,6,3,,1,251
2029,Fabricación de otros productos químicos n.c.p.,4,11,8,3,8,2,2,,3,1,3,2,2,1,1,1,,2,1,1,,,56
2030,Fabricación de fibras sintéticas y artificiales,1,1,,2,1,,,2,,,,,1,,,,,,1,,,,9
2100,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",27,15,13,9,9,3,2,2,,1,,3,1,2,,1,,,1,1,,,90
2212,Reencauche de llantas usadas,,5,2,1,3,,,,,,,1,1,1,,,,,,,,,14
2219,Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.,1,9,2,,8,1,,2,1,,,,,1,,,1,,,1,,,27
2221,Fabricación de formas básicas de plástico,5,26,10,6,28,5,1,18,3,,1,4,2,1,2,3,,,1,,,2,118
2229,Fabricación de artículos de plástico n.c.p.,13,50,14,14,62,10,11,25,5,11,3,6,3,,6,11,4,,,2,,3,253
2310,Fabricación de vidrio y productos de vidrio,3,13,5,8,8,,1,4,3,2,1,,5,2,1,1,,1,1,2,,,61
2391,Fabricación de productos refractarios,1,,,,,,,,,,,,,,,,,,,,,1,2
2392,Fabricación de materiales de arcilla para la construcción,4,3,,4,1,,,1,,,,,,,,2,,,6,,,,21
2393,Fabricación de otros productos de cerámica y porcelana,,3,2,,,,1,1,,1,,,1,,1,1,,,,,,,11
2394,"Fabricación de cemento, cal y yeso",7,2,1,1,,,,,,,,1,,,,,,,,,,,12
2395,"Fabricación de artículos de hormigón, cemento y yeso",8,12,4,4,2,1,,1,5,2,1,,1,1,1,4,1,2,1,1,,1,53
2396,"Corte, tallado y acabado de la piedra",1,7,4,2,3,,1,9,3,1,,1,3,,,,,,1,,,,36
2399,Fabricación de otros productos minerales no metálicos n.c.p.,1,1,,,3,,1,1,2,,1,,,,1,,,,,1,,,12
2410,Industrias básicas de hierro y de acero,2,20,2,3,11,2,1,1,4,1,,,,1,2,1,2,,1,,,,54
2421,Industrias básicas de metales preciosos,6,8,5,1,,,1,,,,,,1,,,,,,,,,,22
2429,Industrias básicas de otros metales no ferrosos,1,2,1,,1,,,1,2,,,1,,,,,,,,,,,9
2431,Fundición de hierro y de acero,1,1,,,2,,,,1,2,,,,,,3,1,,1,,,,12
2432,Fundición de metales no ferrosos,,4,1,,2,,,,1,,,,,,,1,,,1,,,,10
2511,Fabricación de productos metálicos para uso estructural,18,107,22,39,57,11,27,32,25,22,16,10,13,13,9,18,8,12,5,3,2,4,473
2512,"Fabricación de tanques, depósitos y recipientes de metal, excepto los utilizados para el envase o el transporte de mercancías",,4,1,,1,1,,,,,,,1,1,,1,1,,,,,1,12
2513,"Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central",,,,1,1,2,1,,,,,,,,,,,,,,,,5
2591,"Forja, prensado, estampado y laminado de metal; pulvimetalurgia",1,11,1,1,3,1,1,1,,1,1,1,,,1,1,,1,,,,2,28
2592,Tratamiento y revestimiento de metales; mecanizado,2,28,3,,21,2,2,2,1,5,,1,3,1,,1,,,,,,1,73
2593,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",,7,1,1,3,,1,1,,1,,,1,,,1,,,,,,,17
2599,Fabricación de otros productos elaborados de metal n.c.p.,21,62,17,17,87,4,4,19,9,14,5,7,7,3,1,1,1,,2,5,,3,289
2610,Fabricación de componentes y tableros electrónicos,1,4,3,5,2,4,,,,,1,,,,,1,1,,,,,,22
2620,Fabricación de computadoras y de equipo periférico,,,1,1,,,,,,,,,,1,,,,,,,,,3
2630,Fabricación de equipos de comunicación,,,,1,,,,,,,,,,,,,,,,,,,1
2640,Fabricación de aparatos electrónicos de consumo,1,,,,,,,,,,,,,,,,,,,,,,1
2651,"Fabricación de equipo de medición, prueba, navegación y control",2,3,1,2,2,1,1,1,,,2,,,,,1,,,,,,,16
2652,Fabricación de relojes,2,,,,,,,,,,,,,,,,,,,,,,2
2660,Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico,2,1,2,1,,,,,,,,1,,,,,,,,,,,7
2670,Fabricación de instrumentos ópticos y equipo fotográfico,,17,,2,1,,,,,1,1,,,,,1,,,,,,1,24
2711,"Fabricación de motores, generadores y transformadores eléctricos",,5,1,1,1,,1,1,,,,,,,,,,1,,,,,11
2712,Fabricación de aparatos de distribución y control de la energía eléctrica,1,1,3,1,5,2,,2,,2,,,,,,,,,,,,,17
2720,"Fabricación de pilas, baterías y acumuladores eléctricos",,,,,,,1,,,,,,,,,,,,,,,,1
2731,Fabricación de hilos y cables eléctricos y de fibra óptica,,1,,2,,,,,,,,,,,,,,,,,,,3
2732,Fabricación de dispositivos de cableado,1,,1,,1,,,,,,,,,,,,,,,,,,3
